description,rationale,use_case,impact_area,transferability_score,actionability_rating,evidence_strength,type_(form),tag_(application),unique?,role,function,company,industry,country,date,source_(interview_#/_name),link,notes
[00:24:35] Kevin's improved communication since quitting alcohol,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Tim Ferriss Show,,"Episode: #822: The Random Show — Ketones for Cognition, Tim’s Best Lab Results in 10+ Years, How Kevin Hit 100 Days Sober, Home Defense, Vibe Coding Unleashed, and More, Platform: spotify, Content: [00:24:35] Kevin's improved communication since quitting alcohol"
[01:03:27] The time Kevin found a homeless person in his closet,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Tim Ferriss Show,,"Episode: #822: The Random Show — Ketones for Cognition, Tim’s Best Lab Results in 10+ Years, How Kevin Hit 100 Days Sober, Home Defense, Vibe Coding Unleashed, and More, Platform: spotify, Content: [01:03:27] The time Kevin found a homeless person in his closet"
[00:15:53] Why I’ve always wanted to make my own game and how development began in earnest,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Tim Ferriss Show,,"Episode: #821: My Two-Year Secret Project, COYOTE — The Strategies and Tactics for Building a Bestseller from Nothing with Elan Lee of Exploding Kittens, Platform: spotify, Content: [00:15:53] Why I’ve always wanted to make my own game and how development began in earnest"
[00:53:00] The beginner’s mind approach to writing effective game instructions,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Tim Ferriss Show,,"Episode: #821: My Two-Year Secret Project, COYOTE — The Strategies and Tactics for Building a Bestseller from Nothing with Elan Lee of Exploding Kittens, Platform: spotify, Content: [00:53:00] The beginner’s mind approach to writing effective game instructions"
[02:29:49] How we tried to avoid these mistakes when packaging Coyote,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Tim Ferriss Show,,"Episode: #821: My Two-Year Secret Project, COYOTE — The Strategies and Tactics for Building a Bestseller from Nothing with Elan Lee of Exploding Kittens, Platform: spotify, Content: [02:29:49] How we tried to avoid these mistakes when packaging Coyote"
"com/tim ($1000 off)Our Place's Titanium Always Pan® Pro using nonstick technology that’s coating-free and made without PFAS, otherwise known as “Forever Chemicals”: https://fromourplace",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Tim Ferriss Show,,"Episode: #820: Elizabeth Gilbert — How to Find Your Inner Voice, Set Strong Boundaries, and Live a Life of Radical Ease (Repost), Platform: spotify, Content: com/tim ($1000 off)Our Place's Titanium Always Pan® Pro using nonstick technology that’s coating-free and made without PFAS, otherwise known as “Forever Chemicals”: https://fromourplace"
”  [01:09:32] Elizabeth’s hard-ass approach to project commitment,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Tim Ferriss Show,,"Episode: #820: Elizabeth Gilbert — How to Find Your Inner Voice, Set Strong Boundaries, and Live a Life of Radical Ease (Repost), Platform: spotify, Content: ”  [01:09:32] Elizabeth’s hard-ass approach to project commitment"
Its output may be inaccurate and is not investment advice,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Entrepreneurs On Fire: Inspiring interviews,,"Episode: Total Disruption - How to DOMINATE Your Industry....Even if it's Saturated with Ben Glinsky, Platform: spotify, Content: Its output may be inaccurate and is not investment advice"
Emotional regulation - not strategy - is the key to sustainable success,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Entrepreneurs On Fire: Inspiring interviews,,"Episode: Emotionally Uncomfortable with Heather Chauvin, Platform: spotify, Content: Emotional regulation - not strategy - is the key to sustainable success"
"com/huberman Timestamps (00:00) Dopamine & Drive (00:33) Neuromodulators; Dopamine Effects, Parkinson’s Disease; Brain Circuits (03:36) Motivation & Dopamine Levels (04:55) Sponsors: AG1 & LMNT (07:29) Subjective Experience & Dopamine, Activities that Increase Dopamine (10:55) Dopamine Highs, Lows & Baseline; Evolutionary Context, Addiction (16:16) Dopamine Reward Prediction Error, Tool: Intermittent Rewards (18:16) Caffeine & Dopamine; Tool: Yerba Mate & Protecting Dopamine Neurons (19:40) Sponsor: David (20:53) Amphetamine, Cocaine & Challenges for Learning (22:22) Tool: Increase Dopamine & Deliberate Cold Exposure (25:06) Hard Work & Motivation, Intrinsic vs Extrinsic Rewards, Tool: Growth Mindset (30:25) Sponsor: Function (32:04) Experiences & Shifting Perception, Dopamine Balance (33:17) Compounds to Increase Dopamine: Wellbutrin, L-Tyrosine, PEA, Alpha-GPC (36:54) Social Connection; Recap & Key Takeaways Disclaimer & Disclosures Learn more about your ad choices",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Huberman Lab,,"Episode: Essentials: Controlling Your Dopamine for Motivation, Focus & Satisfaction, Platform: spotify, Content: com/huberman Timestamps (00:00) Dopamine & Drive (00:33) Neuromodulators; Dopamine Effects, Parkinson’s Disease; Brain Circuits (03:36) Motivation & Dopamine Levels (04:55) Sponsors: AG1 & LMNT (07:29) Subjective Experience & Dopamine, Activities that Increase Dopamine (10:55) Dopamine Highs, Lows & Baseline; Evolutionary Context, Addiction (16:16) Dopamine Reward Prediction Error, Tool: Intermittent Rewards (18:16) Caffeine & Dopamine; Tool: Yerba Mate & Protecting Dopamine Neurons (19:40) Sponsor: David (20:53) Amphetamine, Cocaine & Challenges for Learning (22:22) Tool: Increase Dopamine & Deliberate Cold Exposure (25:06) Hard Work & Motivation, Intrinsic vs Extrinsic Rewards, Tool: Growth Mindset (30:25) Sponsor: Function (32:04) Experiences & Shifting Perception, Dopamine Balance (33:17) Compounds to Increase Dopamine: Wellbutrin, L-Tyrosine, PEA, Alpha-GPC (36:54) Social Connection; Recap & Key Takeaways Disclaimer & Disclosures Learn more about your ad choices"
"com/huberman *This experience may not be representative of the experience of other clients of Wealthfront, and there is no guarantee that all clients will have similar experiences",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Huberman Lab,,"Episode: How to Rewire Your Brain & Learn Faster | Dr. Michael Kilgard, Platform: spotify, Content: com/huberman *This experience may not be representative of the experience of other clients of Wealthfront, and there is no guarantee that all clients will have similar experiences"
"Timestamps (00:00) Michael Kilgard (03:24) Neuroplasticity   (05:13) Child vs Adult Plasticity, Childhood Development & Learning (09:37) Sponsors: Eight Sleep & Wealthfront (12:41) Kids, Real vs Artificial Experiences & Balance, Video Games, Natural World (21:13) Social Media & Videos, Kids, Overstimulation & Development (33:42) Early Language Development, Passive vs Real Experiences, Kids & Adults (39:23) Sponsors: AG1 & Carbon (42:44) Learning & Plasticity Requirements; Focus, Friction, Rest & Reflection (52:24) Brain Connections, Complexity, Life Experiences & Plasticity (1:02:51) Learning, Reflection, Visualization, Testing (1:09:45) Experience Diversity & Time, Happiness, Life Appreciation (1:18:05) Sponsor: Function (1:19:53) Learning & Life Meaning (1:23:25) Neuromodulators, Brain Complexity, Synaptic Eligibility Trace & Learning (1:34:28) Synapses, Therapy for PTSD, Rewiring the Brain (1:39:01) Vagus Nerve Stimulation (VNS), Stroke, Spinal Cord Injury, Tinnitus, PTSD (1:47:33) Psychedelics, Neurostimulation, Importance of Timing (1:57:47) Electroconvulsive Therapy (ECT) & Major Depression (2:01:51) Psychedelics/SSRIs as Plasticity Tools, SSRIs & Bone Strength, Failed Clinical Trials (2:13:18) Can VNS Accelerate Learning",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Huberman Lab,,"Episode: How to Rewire Your Brain & Learn Faster | Dr. Michael Kilgard, Platform: spotify, Content: Timestamps (00:00) Michael Kilgard (03:24) Neuroplasticity   (05:13) Child vs Adult Plasticity, Childhood Development & Learning (09:37) Sponsors: Eight Sleep & Wealthfront (12:41) Kids, Real vs Artificial Experiences & Balance, Video Games, Natural World (21:13) Social Media & Videos, Kids, Overstimulation & Development (33:42) Early Language Development, Passive vs Real Experiences, Kids & Adults (39:23) Sponsors: AG1 & Carbon (42:44) Learning & Plasticity Requirements; Focus, Friction, Rest & Reflection (52:24) Brain Connections, Complexity, Life Experiences & Plasticity (1:02:51) Learning, Reflection, Visualization, Testing (1:09:45) Experience Diversity & Time, Happiness, Life Appreciation (1:18:05) Sponsor: Function (1:19:53) Learning & Life Meaning (1:23:25) Neuromodulators, Brain Complexity, Synaptic Eligibility Trace & Learning (1:34:28) Synapses, Therapy for PTSD, Rewiring the Brain (1:39:01) Vagus Nerve Stimulation (VNS), Stroke, Spinal Cord Injury, Tinnitus, PTSD (1:47:33) Psychedelics, Neurostimulation, Importance of Timing (1:57:47) Electroconvulsive Therapy (ECT) & Major Depression (2:01:51) Psychedelics/SSRIs as Plasticity Tools, SSRIs & Bone Strength, Failed Clinical Trials (2:13:18) Can VNS Accelerate Learning"
"In this episode, I break down the customer experience lessons and how you can apply them to your own business",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Noah Kagan Presents,,"Episode: The $2000 Night Room, Platform: spotify, Content: In this episode, I break down the customer experience lessons and how you can apply them to your own business"
"No matter what you sell, there’s always a way to go that extra mile for your customers",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Noah Kagan Presents,,"Episode: The $2000 Night Room, Platform: spotify, Content: No matter what you sell, there’s always a way to go that extra mile for your customers"
I have also been sharing emails on my brutally honest advice on a variety of topics,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Noah Kagan Presents,,"Episode: The $2000 Night Room, Platform: spotify, Content: I have also been sharing emails on my brutally honest advice on a variety of topics"
"While watching my 10-month-old daughter sleep on the baby monitor, I found myself feeling something I didn’t expect: fear",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Noah Kagan Presents,,"Episode: I’m scared for my daughter’s future (but also hopeful), Platform: spotify, Content: While watching my 10-month-old daughter sleep on the baby monitor, I found myself feeling something I didn’t expect: fear"
